country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,iso_code
Nigeria,2020,Gino,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,Glaxosmithkline,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Global Beverage Nig. Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Global Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Glofes Ltd,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Goal Water,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,GodVinak International Venture Nig. Ltd,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,18,2099.0,NGA
Nigeria,2020,Golden Oil Ltd,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,Golden Pasta,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,18,2099.0,NGA
Nigeria,2020,Golden Royale Food,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Good Brand Industry,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0,NGA
Nigeria,2020,Goodluck Bakery,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13.0,18,2099.0,NGA
Nigeria,2020,Great Milk Bakery,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0,NGA
Nigeria,2020,"Greenbrier International, Inc",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Guinness,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Guinness Nigeria Plc,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,18,2099.0,NGA
Nigeria,2020,Happy Food Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Hayat,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
